Wie sind die weltweiten Fallzahlen von Corona?;01.10.globalCovid_spread
Wie werden @covid-Fälle gezählt? ;01.10.globalCovid_spread
Geht es anderen Ländern mit @covid besser? ;01.10.globalCovid_spread
Wie viele @covid-Patienten gibt es in der Welt? ;01.10.globalCovid_spread
Werden @covid-Zahlen auf die gleiche Weise gezählt?;01.10.globalCovid_spread
Wie sehen die Statistiken über die Krankheit aus?;01.10.globalCovid_spread
Wie hoch ist der Infektionsgrad in Italien?;01.10.globalCovid_spread
Wo finde ich die neuesten Fallzahlen zu @covid?;01.10.globalCovid_spread
Wie ist die Entwicklung von @covid in Italien? ;01.10.globalCovid_spread
Wie kann man die weltweite Entwicklung von @covid verfolgen?;01.10.globalCovid_spread
Wie viele Menschen sind weltweit erkrankt?;01.10.globalCovid_spread
Handelt es sich bei den Fallzahlen nur um getestete Fälle?;01.10.globalCovid_spread
Wie werden @covid-Statistiken in Deutschland erstellt?;01.10.globalCovid_spread
Wo ist @covid bereits überall?;01.10.globalCovid_spread
Wie kann ich den weltweiten Verlauf von @covid herausfinden?;01.10.globalCovid_spread
Wie viele Menschen sind auf der Welt gestorben?;01.10.globalCovid_spread
Wo wurde eine @covid-Infektion nachgewiesen?;01.10.globalCovid_spread
Ist @covid überall vorhanden?;01.10.globalCovid_spread
Wie hoch ist der Grad der Kontamination?;01.10.globalCovid_spread
Wie ist die Entwicklung von @covid Infizierten weltweit?;01.10.globalCovid_spread
Gibt es Länder die nicht betroffen sind;01.10.globalCovid_spread
Können @covid-Zahlen aus zwei Ländern verglichen werden?;01.10.globalCovid_spread
Wo finde ich Informationen über @covid weltweit?;01.10.globalCovid_spread
Wie hoch ist der Grad der Kontamination in Europa?;01.10.globalCovid_spread
Wie viele Personen sind infiziert mit @covid?;01.10.globalCovid_spread
Ist @covid eine Epidemie?;01.11.globalCovid_pandemic
Die WHO hat den Status einer globalen Pandemie erklärt. Was bedeutet dies in der Praxis?;01.11.globalCovid_pandemic
Was ist eine Pandemie?;01.11.globalCovid_pandemic
Was bedeutet Pandemie?;01.11.globalCovid_pandemic
Was sind die Kriterien für eine Pandemie?;01.11.globalCovid_pandemic
Wie wird eine Pandemie definiert?;01.11.globalCovid_pandemic
Was ist mit einer Pandemie?;01.11.globalCovid_pandemic
Ist @covid eine Pandemie?;01.11.globalCovid_pandemic
Was ist Unterschied Pandemie und Epidemie?;01.11.globalCovid_pandemic
Was ist eine Epidemie?;01.11.globalCovid_pandemic
Was ist der Unterschied zwischen Epidemie und Pandemie?;01.11.globalCovid_pandemic
Warum redet man von Pandemie ?;01.11.globalCovid_pandemic
Was bedeuten die Dimensionen einer Pandemie?;01.11.globalCovid_pandemic
Woher kommt @covid?;01.1.aboutVirus_WhatIsIt
Wie kam @covid ins Land?;01.1.aboutVirus_WhatIsIt
Ist @covid dasselbe wie MERS?;01.1.aboutVirus_WhatIsIt
Was ist @covid?;01.1.aboutVirus_WhatIsIt
Wie viele Länder sind von @covid betroffen?;01.1.aboutVirus_WhatIsIt
Wurde der Ursprung von @covid  identifiziert?;01.1.aboutVirus_WhatIsIt
Was ist der Unterschied zwischen @covid und der Grippe?;01.1.aboutVirus_WhatIsIt
Was ist der Unterschied zwischen @covid und Coronavirus.;01.1.aboutVirus_WhatIsIt
Wenn wir über @covid sprechen, was meint man genau?;01.1.aboutVirus_WhatIsIt
Wann wurde die Pandemie ausgerufen?;01.1.aboutVirus_WhatIsIt
Wo wurde @covid entdeckt?;01.1.aboutVirus_WhatIsIt
Was weiss man über Covid?;01.1.aboutVirus_WhatIsIt
